ENGINE_SN;BOM_ID;ENGINE_FAMILY_TYPE;BASE_CODE;BASE_NAME;IN_SERVICE_DATE;TOTAL_FLIGHT_HOURS;TOTAL_CYCLES;CURRENT_EGT_MARGIN;STATUS
TF6000-001;BOM0001;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20250523;77.3;105;73.2;A
TF6000-002;BOM0001;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20251012;68.4;57;78.2;A
TF6000-003;BOM0001;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20250905;47.0;26;71.8;A
PD170-001;BOM0002;P;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20210507;1681.1;304;0.0;A
PD170-002;BOM0002;P;VAN;Van (Akıncı SİHA);20240307;479.9;138;0.0;D
PD170-003;BOM0002;P;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20211011;1448.3;380;0.0;A
PD170-004;BOM0002;P;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20240915;587.1;119;0.0;A
PD170-005;BOM0002;P;VAN;Van (Akıncı SİHA);20230702;513.1;69;0.0;A
PD170-006;BOM0002;P;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20240530;510.9;66;0.0;A
TS1400-001;BOM0003;T;VAN;Van (Akıncı SİHA);20240720;652.0;159;49.0;A
TS1400-002;BOM0003;T;VAN;Van (Akıncı SİHA);20230818;1021.0;207;59.0;A
TS1400-003;BOM0003;T;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20240323;665.0;210;57.8;A
TS1400-004;BOM0003;T;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20240928;334.7;146;60.4;A
TF10000-001;BOM0004;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20260113;12.1;22;78.7;A
TF10000-002;BOM0004;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20251128;44.6;42;72.5;A
TJ90-001;BOM0005;T;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20220302;522.6;798;31.0;A
TJ90-002;BOM0005;T;MLT;7. Ana Jet Üssü, Malatya;20220701;238.8;370;39.6;A
TJ90-003;BOM0005;T;BTM;14. İnsansız Uçak Sistemleri Üs Komutanlığı, Batman;20240503;142.6;177;42.4;A
TP38-001;BOM0006;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20240610;170.5;60;52.2;A
TP38-002;BOM0006;T;MLT;7. Ana Jet Üssü, Malatya;20240211;460.5;175;50.0;A
TS1400-DUR1;BOM0003;T;ESK;TEİ Ana Tesis, Eskişehir (Ar-Ge/Test);20250117;3895.9;14188;60.3;A
