ENGINE_SN;NODE_ID;CYCLE_LIMIT;CYCLES_ACCUMULATED;LAST_INSPECTION_DATE
TF6000-001;N012;16117;103;20260502
TF6000-001;N014;10252;102;20251216
TF6000-001;N015;19663;97;20260221
TF6000-001;N021;10026;97;20260604
TF6000-001;N022;15240;95;20260226
TF6000-002;N012;15088;55;20250926
TF6000-002;N014;11966;54;20260705
TF6000-002;N015;19658;51;20251212
TF6000-002;N021;11217;54;20260305
TF6000-002;N022;19176;57;20251121
TF6000-003;N012;15442;24;20250916
TF6000-003;N014;10109;24;20250818
TF6000-003;N015;16829;25;20251115
TF6000-003;N021;11537;24;20260712
TF6000-003;N022;18643;25;20260620
TS1400-001;N210;16307;146;20250822
TS1400-001;N214;10356;40;20260226
TS1400-001;N215;18202;146;20251111
TS1400-001;N216;10456;158;20260429
TS1400-001;N217;19969;20;20251106
TS1400-002;N210;18202;203;20260619
TS1400-002;N214;11379;188;20260626
TS1400-002;N215;19919;187;20250805
TS1400-002;N216;10357;200;20260223
TS1400-002;N217;15141;21;20260620
TS1400-003;N210;15871;194;20260102
TS1400-003;N214;11702;201;20250719
TS1400-003;N215;19217;54;20250925
TS1400-003;N216;10847;201;20251221
TS1400-003;N217;16045;195;20260307
TS1400-004;N210;19730;143;20260202
TS1400-004;N214;10892;140;20260618
TS1400-004;N215;16834;141;20260214
TS1400-004;N216;11142;138;20250914
TS1400-004;N217;16164;141;20260129
TF10000-001;N012;17888;22;20260119
TF10000-001;N014;11933;21;20260129
TF10000-001;N015;16067;20;20260105
TF10000-001;N021;11739;21;20260321
TF10000-001;N022;18377;20;20250926
TF10000-002;N012;18280;40;20260416
TF10000-002;N014;11784;42;20260531
TF10000-002;N015;16966;39;20250715
TF10000-002;N021;11015;40;20260609
TF10000-002;N022;17397;42;20260601
TJ90-001;N310;17580;50;20251229
TJ90-001;N312;17759;771;20250929
TJ90-002;N310;15142;340;20260707
TJ90-002;N312;16393;360;20260607
TJ90-003;N310;17612;167;20251227
TJ90-003;N312;18501;165;20251013
TP38-001;N410;15605;57;20251203
TP38-002;N410;19085;164;20250903
TS1400-DUR1;N210;15921;13042;20260131
TS1400-DUR1;N214;11824;13154;20260320
TS1400-DUR1;N215;16939;13877;20251109
TS1400-DUR1;N216;10518;13915;20260302
TS1400-DUR1;N217;17572;13121;20250930
