LOG_ID;ENGINE_SN;FLIGHT_DATE;FLIGHT_HOURS;CYCLES;EGT_MARGIN_READING;OIL_DEBRIS_PPM
0000000001;TF6000-001;20250527;0.9;1;84.4;1.59
0000000002;TF6000-001;20250531;0.8;1;81.4;1.33
0000000003;TF6000-001;20250605;0.6;1;82.9;1.17
0000000004;TF6000-001;20250607;0.7;1;82.1;1.68
0000000005;TF6000-001;20250610;0.9;1;82.4;1.19
0000000006;TF6000-001;20250615;0.7;1;81.3;1.74
0000000007;TF6000-001;20250620;0.6;1;81.9;1.47
0000000008;TF6000-001;20250625;0.8;1;84.1;1.53
0000000009;TF6000-001;20250627;0.7;2;81.3;1.86
0000000010;TF6000-001;20250629;0.6;1;83.7;1.69
0000000011;TF6000-001;20250703;0.9;1;81.7;1.95
0000000012;TF6000-001;20250707;0.7;1;80.8;1.46
0000000013;TF6000-001;20250709;0.7;2;82.1;1.30
0000000014;TF6000-001;20250710;0.9;1;82.9;1.26
0000000015;TF6000-001;20250716;0.6;1;83.2;1.86
0000000016;TF6000-001;20250722;0.7;1;81.0;1.68
0000000017;TF6000-001;20250727;0.9;1;84.2;1.21
0000000018;TF6000-001;20250728;0.8;1;82.5;2.11
0000000019;TF6000-001;20250801;0.6;1;80.3;1.95
0000000020;TF6000-001;20250806;0.7;2;82.7;1.95
0000000021;TF6000-001;20250809;0.5;1;81.8;1.59
0000000022;TF6000-001;20250812;0.9;1;82.3;1.33
0000000023;TF6000-001;20250815;0.8;1;81.8;1.78
0000000024;TF6000-001;20250819;0.8;1;81.1;1.59
0000000025;TF6000-001;20250822;0.6;1;82.2;13.01
0000000026;TF6000-001;20250823;0.7;1;80.3;1.79
0000000027;TF6000-001;20250825;0.7;1;82.3;1.34
0000000028;TF6000-001;20250830;1.0;2;81.8;1.56
0000000029;TF6000-001;20250901;0.7;1;83.2;1.31
0000000030;TF6000-001;20250903;0.7;1;80.1;1.30
0000000031;TF6000-001;20250906;0.6;1;78.0;1.91
